source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	generated_question
data/raw/hecat/SH.pdf	68	Sexual Health	SH	8	Advocacy	skill	8	6-8	1	SH8.8.1	State a health-enhancing position on a sexual and reproductive health topic, supported with accurate information, to improve the health of self and others.		My friend said that if you don't use protection when you have sex, you can get pregnant or catch something bad. Is that true? What should I tell my friend?
data/raw/hecat/SH.pdf	10	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	6	SH1.12.6	Analyze associations between a range of gender identities and expressions (e.g., cisgender, transgender, non-binary/conforming, expansive) and health.	HBO 3	My friend told me they're non-binary and uses they/them pronouns. I want to be respectful but I'm not sure how to ask about their gender without making them uncomfortable. What should I do?
data/raw/hecat/SH.pdf	6	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	10	SH1.8.10	Describe characteristics of healthy relationships.	HBO 2	My friend and I were talking and she said that her boyfriend always wants to do stuff that makes her uncomfortable, like touching her private parts. She doesn't know what to do. Should she tell him to stop?
data/raw/hecat/SH.pdf	36	Sexual Health	SH	4	Interpersonal Communication	skill	8	6-8	4	SH4.8.4	Demonstrate effective negotiation skills to avoid or reduce sexual risk behaviors.		My friend wants me to send a picture of my private parts, but I don't want to. What should I say to him?
data/raw/hecat/SH.pdf	6	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	16	SH1.8.16	Explain the importance of talking with parents, caregivers, and other trusted adults about issues related to growth and development, relationships, sex, and sexual and reproductive health services.	HBO 1|HBO 2|HBO 3|HBO 4|HBO 5|HBO 6|HBO 7|HBO 10	My friend told me she's not sure if she should talk to her mom about her period stuff. Should I tell her it's important to talk to her mom about it?
data/raw/hecat/SH.pdf	52	Sexual Health	SH	6	Goal Setting	skill	8	6-8	5	SH6.8.5	Apply strategies to overcome barriers to achieving a personal goal to avoid or reduce the risk of pregnancy and transmission of HIV and other STIs.		My friend wants me to try this new thing called 'hooking up' but I don't want to get pregnant or any diseases. What should I do?
data/raw/hecat/SH.pdf	7	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	26	SH1.8.26	Define consent and its importance for decisions about sexual behaviors.	HBO 4|HBO 5|HBO 6|HBO 7|HBO 8	My friend said I have to kiss him if he asks because that's what friends do. Is that true? Should I do it if I don't want to?
data/raw/hecat/SH.pdf	52	Sexual Health	SH	6	Goal Setting	skill	8	6-8	1	SH6.8.1	Set a realistic goal related to maintaining personal hygiene during puberty.		My friend said I should start using deodorant every day because I'm starting to smell. Should I do that? What if I forget?
data/raw/hecat/SH.pdf	28	Sexual Health	SH	3	Accessing Information	skill	8	6-8	5	SH3.8.5	Determine the availability of valid sexual and reproductive healthcare products.		My friend said there's a place where you can get free condoms and stuff, but I'm not sure if it's okay to go there without a parent. Can I go by myself?
data/raw/hecat/SH.pdf	13	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	66	SH1.12.66	Explain the basic side effects and costs of treatment for STIs.	HBO 6|HBO 10	My friend got an STI and he’s worried about the side effects and how much it will cost to treat it. Can you tell me more about that?
data/raw/hecat/SH.pdf	62	Sexual Health	SH	7	Self-Management	skill	12	9-12	2	SH7.12.2	Evaluate personal practices and behaviors that reduce or prevent sexual risk behaviors.		My friend and I were talking and he said he thinks it's okay to not use a condom if you really trust someone. Is that true? What should I tell him?
